Date,Open,High,Low,Close,Volume,Label
1997-07-31,1.9518421077844315,1.9866964311377249,1.9227969622498366,1.9402240000000002,11653600,Hold
1997-08-01,1.922798181502319,1.928607115151515,1.8918165410982786,1.9169889999999998,11481600,Hold
1997-08-04,1.9131164729458918,1.9518435270541084,1.9111802441670542,1.93248,5746400,Hold
1997-08-05,1.9305425144485666,1.9344152173382798,1.8898790101800844,1.9111790000000002,4946400,Hold
1997-08-06,1.9073072960577049,1.9150527058937705,1.8782618852459017,1.88988,8842400,Hold
1997-08-07,1.889879029288703,1.8937517322175734,1.8472792970711298,1.8511520000000001,10968000,Hold
1997-08-08,1.839535642613459,1.8472810558455157,1.8240448161493457,1.829854,9186400,Buy
1997-08-11,1.8221080118933777,1.8743894107883818,1.8124261244813278,1.866644,9060800,Hold
1997-08-12,1.8743883739837397,1.9092427032520325,1.8743883739837397,1.90537,14703200,Hold
1997-08-13,1.9363532388663964,1.9363532388663964,1.8743899352226718,1.9131169999999997,13512000,Hold
1997-08-14,1.9169901078518927,1.9266720000000002,1.8995630489798725,1.9266720000000002,13395200,Sell
1997-08-15,1.9092440000000002,1.9150531827501178,1.8317898823529413,1.8434080000000002,17945600,Hold
1997-08-18,1.8434080000000002,1.8434080000000002,1.7969355294117648,1.8434080000000002,16619200,Hold
1997-08-19,1.8434081148666095,1.8434081148666095,1.764017763257984,1.7872540000000001,34731200,Hold
1997-08-20,1.7736984078947367,1.7891892236842104,1.7485259561633684,1.7659529999999999,29460800,Hold
1997-08-21,1.7620801533261117,1.76401662906947,1.7156077097219067,1.7330349999999999,23751200,Hold
1997-08-22,1.705926543389638,1.7465898187919464,1.7039900671140942,1.7310990000000002,16240800,Hold
1997-08-25,1.7349728288288289,1.738845536036036,1.7059276487014055,1.719482,10116800,Hold
1997-08-26,1.7136721151950407,1.7310991640610394,1.6943085898699732,1.7020540000000002,16036800,Hold
1997-08-27,1.6962449373549882,1.6981814139497726,1.6555816552490765,1.669136,16625600,Hold
1997-08-28,1.6691355211267604,1.6826901098420284,1.632344954912451,1.649772,17444000,Buy
1997-08-29,1.6420278782201405,1.6691368290398125,1.634282463700234,1.653646,12975200,Hold
1997-09-02,1.6865626650513803,1.731098635781425,1.6826899611682005,1.7214169999999998,14430400,Hold
1997-09-03,1.7252904719636692,1.7504629344843199,1.678818004676475,1.7446540000000001,21334400,Sell
1997-09-04,1.7407807018046415,1.7407807018046415,1.696244478555305,1.7156080000000002,13213600,Hold
1997-09-05,1.7233540574712645,1.7407813572599173,1.6730088827586207,1.684627,11224000,Hold
1997-09-08,1.686563181530249,1.7001175253456222,1.6575177695852537,1.680754,20735200,Hold
1997-09-09,1.6730084759725403,1.7156082288329522,1.6691357711670483,1.6923720000000002,14639200,Hold
1997-09-10,1.6884987388235295,1.6904352145147485,1.6381535929411766,1.6458990000000002,23548000,Hold
1997-09-11,1.6304092337962963,1.673009,1.6284730047136298,1.673009,16307200,Hold
1997-09-12,1.6730085898617513,1.688499410138249,1.634281539170507,1.680754,11885600,Hold
1997-09-15,1.6807540518867925,1.6807540518867925,1.6420270000000001,1.6420270000000001,9650400,Hold
1997-09-16,1.6439627721618073,1.6633262898088663,1.6284719580441602,1.6458990000000002,17984800,Hold
1997-09-17,1.630409,1.6439635930477152,1.6226635890736343,1.630409,18564000,Buy
1997-09-18,1.6536111076163647,1.7381594624145786,1.6516447380410022,1.726362,25782400,Hold
1997-09-19,1.690969679836525,1.749956994249427,1.6831047045814713,1.7086659999999998,34753600,Hold
1997-09-22,1.7106320993227988,1.75388946275395,1.6929360310314763,1.7420919999999998,19523200,Sell
1997-09-23,1.7420909705215417,1.7578209115646257,1.7204624274268299,1.7342259999999998,18414400,Hold
1997-09-24,1.732260313912954,1.7381589174311924,1.7066990275229357,1.7145639999999998,9191200,Hold
1997-09-25,1.7027669744779583,1.7047333439370398,1.687037025522042,1.6949020000000001,9016800,Hold
1997-09-26,1.690968971962617,1.704732798736748,1.6811378828488974,1.6831040000000002,8713600,Hold
1997-09-29,1.6752390280373832,1.6929353407928227,1.6732729108862807,1.6831040000000002,7840000,Hold
1997-09-30,1.6850713227735852,1.690969929245283,1.657543905320755,1.667375,9102400,Hold
1997-10-01,1.6772058303313098,1.6772058303313098,1.6536109083454942,1.6634419999999999,9087200,Hold
1997-10-02,1.6614765115131986,1.6693414884868014,1.655577652943365,1.665409,6230400,Hold
1997-10-03,1.673273,1.6909690620187776,1.661475541427776,1.673273,10140800,Hold
1997-10-06,1.6732737861266986,1.6732737861266986,1.6418138818204784,1.64378,9005600,Hold
1997-10-07,1.6477110308788598,1.6654073372409313,1.6378799453169406,1.655576,8344000,Hold
1997-10-08,1.6673749038461538,1.6752398798076922,1.635915,1.635915,18615200,Hold
1997-10-09,1.6359146047062307,1.651644552828406,1.6162521695535115,1.630016,13612800,Hold
1997-10-10,1.6378798523455227,1.651643421686747,1.6182174306587758,1.631981,9501600,Hold
1997-10-13,1.6516445789852903,1.6555770660781124,1.6319821435211799,1.637881,6336000,Hold
1997-10-14,1.6418138818204784,1.6496788578970336,1.6300164177056458,1.64378,9076000,Hold
1997-10-15,1.630015908813199,1.65754331648706,1.6241170527577937,1.639847,9233600,Hold
1997-10-16,1.6516448780487805,1.6516448780487805,1.6064213941322927,1.61232,12010400,Hold
1997-10-17,1.5887239400000002,1.59069030833952,1.55726406,1.5729940000000002,24133600,Hold
1997-10-20,1.572995118057963,1.5788939755902898,1.5592315366145653,1.571029,13648000,Hold
1997-10-21,1.5572654424552432,1.5572654424552432,1.51007558056266,1.537603,28930400,Hold
1997-10-22,1.5395685136964066,1.5572645762230157,1.5395685136964066,1.5435010000000002,29968000,Hold
1997-10-23,1.5100751020408165,1.557264948979592,1.5081089842579594,1.541535,19533600,Hold
1997-10-24,1.5435009446503005,1.5474334308128757,1.4963111106993987,1.527771,13958400,Hold
1997-10-27,1.5002426217411147,1.533668606557377,1.4156940983606556,1.439289,14493600,Buy
1997-10-28,1.415695702917772,1.5179403925729442,1.415695702917772,1.482548,27999200,Hold
1997-10-29,1.4864796874056212,1.5297370328063138,1.4668172576780336,1.5041760000000002,17536000,Hold
1997-10-30,1.4786156530628776,1.5258055143308416,1.4707506761848834,1.488447,11026400,Hold
1997-10-31,1.490412976127321,1.5022104403183025,1.4746830238726791,1.482548,10211200,Hold
1997-11-03,1.508108569187124,1.5297371172417304,1.4845136522116733,1.527771,11335200,Hold
1997-11-04,1.5218721994906743,1.5474334863035937,1.5120411095712523,1.5435010000000002,16032000,Sell
1997-11-05,1.5376024871794873,1.5376024871794873,1.5022101025641026,1.53367,15204800,Hold
1997-11-06,1.5297371172417304,1.5336696034043056,1.5199060276748497,1.527771,9236000,Hold
1997-11-07,1.5061425130208335,1.5218724609375,1.4982775390625,1.510075,7520000,Hold
1997-11-10,1.5179400666472291,1.5218725538665225,1.4923790255614133,1.500244,10116800,Hold
1997-11-11,1.5022099736842105,1.510074947368421,1.4786150526315789,1.4943449999999998,7676800,Hold
1997-11-12,1.4825474598930481,1.4923788023101605,1.47075,1.47075,8453600,Buy
1997-11-13,1.4687835143547117,1.494344545209545,1.4550196887566622,1.472716,6112000,Hold
1997-11-14,1.4786143278160244,1.5415340864464937,1.4786143278160244,1.531703,5664800,Hold
1997-11-17,1.5670960268456409,1.5828259731543592,1.5297372785228645,1.574961,11433600,Hold
1997-11-18,1.5749605724517821,1.6142854275482177,1.5749605724517821,1.594623,13595200,Hold
1997-11-19,1.5887245135802468,1.602488341888948,1.5887245135802468,1.592657,7342400,Hold
