timestamp,close,rsi,williamsR,sma14,ema12,wma10,hma14,tripleEma12,cci20,cmo10,macd,ppo,roc14,cmfi20,psi
2002-01-25T00:00+06:00[Asia/Almaty],9840.080078,41.727107628312593635872060898688,-74.247926045843104622134805961117,9909.1228377142857142857142857143,9861.7809410336633371438675043785,9794.2347124181818181818181818182,9705.8264540888888888888888888888,9738.6864844605128699073578606457,-55.471778635472692802136730980463,-27.732669137721055789065723246991,-84.0803483813395957106485171940,-0.84538026355568694502350181654656,-4.0903584927937854844522567470688,-0.12087601323878619893403323850309,9902.7004623941522806408761835520
2002-01-28T00:00+06:00[Asia/Almaty],9865.75,43.903030502790058399105949420986,-68.623033472407276332382521319249,9885.4585659285714285714285714286,9862.3915654900228237523842689600,9802.2225320181818181818181818182,9748.7558858309523809523809523813,9771.8709524196605358720977187804,-44.536226097381297133320955977414,-15.884052970513612153541235173198,-77.5355543386835958837321152979,-0.78004147720571775035671605939024,-3.2489770211532275633520846571956,-0.099369679275093139661778768497268,9680.509766
2002-01-29T00:00+06:00[Asia/Almaty],9618.240234,31.636579693137146578111770859914,-99.756990013528769504019852409833,9847.4364537142857142857142857143,9824.8298221838654653129738756968,9767.4227627636363636363636363636,9746.2839828452380952380952380957,9700.2230917457770266380604558200,-97.567291918981971788543532899426,-29.755477013844880475778661138202,-91.2686394353071467717841631034,-0.92040876548944775324217178975328,-5.2441452061817650477505341396628,-0.15352706631396166238195053983486,9894.530273
2002-01-30T00:00+06:00[Asia/Almaty],9762.860352,41.858484362032612825517072159394,-59.217807418457112293264639974481,9823.7772042857142857142857142857,9815.2960575401938550264799325747,9763.8844638363636363636363636364,9743.0157165103174603174603174603,9708.1274024536927839948626350448,-101.33593306252045357727712611119,-15.659657636742344569374621475636,-89.4514329960770827133401795777,-0.90311674357721491074249811644777,-3.2814200895674136026641848859692,-0.081181059875535875279931334172132,9888.97267536
2002-01-31T00:00+06:00[Asia/Almaty],9920.0,50.516361469875493678500503771575,-31.354128428640261256310866189003,9813.2157505714285714285714285714,9831.4043563801640315789597216394,9791.8495561636363636363636363636,9771.3264928039682539682539682537,9778.0726461185667003179905985904,-23.117096289449640920516777948630,21.300654112356286522052870766079,-74.4729496719386884883634917976,-0.75180569444806908324062194946641,-1.4686372956159175776378508115405,-0.067118662210210168595224286977653,9529.459961
2002-02-01T00:00+06:00[Asia/Almaty],9907.259766,49.867990961400186793816865724434,-17.285209633278598795840175150520,9807.4821429285714285714285714286,9843.0744193986003347047174937712,9813.7213246909090909090909090909,9818.3541164087301587301587301588,9824.7148125834772229896276512199,-3.1569938846955928984392541391569,6.7301474801473081289989588863832,-62.9052910940873690556902744383,-0.63502341951555124628594947791630,-0.80370727102576062449548081585074,-0.11867792948098245838341640887270,9537.32056646
2002-02-04T00:00+06:00[Asia/Almaty],9687.089844,40.252895805989676216993141681287,-65.488805035577449370552818828681,9792.8871373571428571428571428571,9819.0767924142002826117433585810,9794.5218396363636363636363636364,9820.5867584452380952380952380952,9771.9925357170693243629599846655,-67.440324553226708727411613192120,-8.5427837427596922773928952649481,-70.6888538938438884285558828795,-0.71476773486773973738729207985998,-2.0657304978584448777787921720790,-0.19538758122682754424179102611708,9553.5853610016
2002-02-05T00:00+06:00[Asia/Almaty],9685.429688,40.189970549191769967684744407830,-62.369824716638216311225029037496,9775.8356585714285714285714285714,9798.5156994274002386189862864370,9776.5615946727272727272727272727,9790.6040661865079365079365079367,9734.2240555869271230863637967906,-100.45443324515601739670889196687,-3.0316754632606214351892668521982,-76.1139499689369576211780265407,-0.77080308499053439574312739592364,-2.4054522915784378503781986872553,-0.15588134079628843927794371214263,9569.199563761536
2002-02-06T00:00+06:00[Asia/Almaty],9653.389648,38.925268229797071231912236856452,-70.099993541553341564087064377453,9771.6299526428571428571428571429,9776.1886145924155859655805061105,9753.2917082,9745.1959784857142857142857142858,9695.6632833992037355344875485576,-109.85033953011449750356512455549,-8.1595421421573679048642837941135,-82.0528865523410781211049745576,-0.83232781975175745022526903523051,-0.60624226718652007311142650371736,-0.15467366687244009516892210752973,9584.18919841107456
2002-02-07T00:00+06:00[Asia/Almaty],9625.44043,37.807604685764900120519928887204,-76.843186548314777167461659092072,9755.5871234285714285714285714286,9752.9965861935824183141520259688,9726.3505150545454545454545454545,9701.8476882285714285714285714283,9658.4966052244284979811958180183,-107.42684230514851478407797197064,-18.678515746606571510501362018094,-88.0003911626737530849314867210,-0.89422231675468617406389694556303,-2.2801898074599288438486315882883,-0.16288728218590783634579785565959,9598.5792476746315776
